episode_path,phase_start_t,phase_end_t
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000000.parquet,160,260
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000003.parquet,190,300
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000006.parquet,160,250
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000009.parquet,150,280
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000012.parquet,190,295
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000015.parquet,155,300
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000018.parquet,155,280
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000021.parquet,140,310
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000024.parquet,115,235
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000027.parquet,125,215
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000030.parquet,250,440
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000033.parquet,135,325
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000036.parquet,115,245
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000039.parquet,150,290
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000042.parquet,190,340
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000045.parquet,115,250
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000048.parquet,150,260
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000051.parquet,160,320
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000054.parquet,120,260
/home/cwzk/openpi_jax_piper_lora_v1_20260707/datasets/piper_greenblock_5090_v2_openpi_view_20260707/data/chunk-000/episode_000057.parquet,140,270
/home/cwzk/rlt_takeover_sessions/rlt_session_20260708_145359/episode_000000/episode.jsonl,-1,-1
/home/cwzk/rlt_takeover_sessions/rlt_session_20260709_102740/episode_000000/episode.jsonl,280,640
/home/cwzk/rlt_takeover_sessions/rlt_session_20260709_102740/episode_000001/episode.jsonl,1185,1270
/home/cwzk/rlt_takeover_sessions/rlt_session_20260709_102740/episode_000002/episode.jsonl,540,630
/home/cwzk/rlt_takeover_sessions/rlt_session_20260709_105820/episode_000000/episode.jsonl,335,460
/home/cwzk/rlt_takeover_sessions/rlt_session_20260709_105820/episode_000001/episode.jsonl,403,563
/home/cwzk/rlt_takeover_sessions/rlt_session_20260709_111114/episode_000000/episode.jsonl,185,340
/home/cwzk/rlt_takeover_sessions/rlt_session_20260709_111114/episode_000001/episode.jsonl,350,480
/home/cwzk/rlt_takeover_sessions/rlt_session_20260709_111114/episode_000002/episode.jsonl,,
